Date,Open,High,Low,Close,Adj Close,Volume
2008-11-20,411.000000,423.000000,400.000000,416.149994,376.045013,235473
2008-11-21,413.799988,419.000000,400.000000,415.399994,375.367310,240424
2008-11-24,420.149994,434.850006,405.149994,430.600006,389.102386,249198
2008-11-25,421.399994,435.000000,414.600006,417.799988,377.535980,634667
2008-11-26,418.000000,430.000000,413.600006,424.200012,383.319214,160460
2008-11-27,null,null,null,null,null,null
2008-11-28,420.049988,432.000000,420.049988,427.200012,386.030090,748847
2008-12-01,435.000000,459.649994,425.149994,447.850006,404.690002,672062
2008-12-02,380.000000,483.500000,380.000000,469.049988,423.846924,922231
2008-12-03,480.000000,493.950012,469.000000,475.350006,429.539795,1324941
2008-12-04,483.500000,487.000000,466.200012,478.950012,432.792877,613628
2008-12-05,476.000000,491.799988,474.049988,475.750000,429.901215,347898
2008-12-08,495.000000,495.000000,477.100006,482.799988,436.271851,126424
2008-12-10,493.000000,495.899994,473.100006,484.149994,437.491730,630621
2008-12-11,489.000000,490.000000,444.100006,459.200012,414.946167,635403
2008-12-12,449.100006,455.000000,440.000000,443.700012,400.939972,154823
2008-12-15,449.000000,466.000000,446.200012,453.000000,409.343781,567288
2008-12-16,429.649994,474.100006,429.649994,453.100006,409.434052,228496
2008-12-17,456.000000,461.000000,438.000000,443.200012,400.488098,411564
2008-12-18,439.000000,461.899994,431.049988,456.500000,412.506439,261883
2008-12-19,451.100006,482.000000,451.100006,476.250000,430.353088,385385
2008-12-22,477.750000,489.700012,474.000000,477.649994,431.618134,114210
2008-12-23,470.000000,474.899994,446.500000,467.850006,422.762604,275403
2008-12-24,470.000000,485.950012,455.000000,472.000000,426.512604,371924
2008-12-26,473.000000,477.899994,465.250000,468.250000,423.124115,107096
2008-12-29,466.799988,470.000000,461.149994,465.549988,420.684235,96306
2008-12-30,468.049988,476.399994,465.549988,470.750000,425.383118,80678
2008-12-31,475.750000,485.500000,465.250000,468.649994,423.485474,139032
2009-01-02,470.500000,474.350006,466.000000,468.000000,422.898102,317223
2009-01-05,475.000000,478.000000,468.000000,471.250000,425.834930,200154
2009-01-06,474.500000,492.000000,468.100006,486.700012,439.795959,702599
2009-01-07,499.850006,506.000000,452.350006,464.899994,420.096893,759716
2009-01-09,466.000000,488.799988,455.000000,459.899994,415.578796,227697
2009-01-12,460.100006,478.000000,460.100006,468.450012,423.304810,434823
2009-01-13,465.750000,478.000000,448.000000,452.750000,409.117767,544994
2009-01-14,458.899994,487.000000,458.899994,475.950012,430.081970,451523
2009-01-15,471.250000,480.000000,440.200012,445.200012,402.295380,400584
2009-01-16,448.049988,454.899994,433.500000,447.299988,404.193024,245106
2009-01-19,453.000000,461.700012,446.049988,457.450012,413.364899,244816
2009-01-20,455.000000,471.250000,449.049988,467.899994,422.807739,396897
2009-01-21,464.899994,464.899994,442.049988,447.049988,403.967041,506395
2009-01-22,450.000000,455.000000,418.049988,428.500000,387.204834,458202
2009-01-23,422.000000,441.100006,421.000000,432.200012,390.548279,217054
2009-01-27,440.000000,447.000000,431.100006,443.899994,401.120667,144589
2009-01-28,445.000000,449.899994,440.100006,442.549988,399.900787,108407
2009-01-29,440.000000,458.950012,435.000000,453.049988,409.388855,275559
2009-01-30,441.649994,455.500000,440.500000,449.799988,406.452057,208004
2009-02-02,446.049988,455.100006,444.200012,448.899994,405.638824,65220
2009-02-03,450.000000,453.000000,432.200012,437.799988,395.608551,166678
2009-02-04,437.000000,449.799988,432.000000,436.600006,394.524170,219596
2009-02-05,438.000000,450.049988,438.000000,447.950012,404.780396,354983
2009-02-06,453.000000,462.000000,452.000000,458.899994,414.675140,119667
2009-02-09,462.000000,467.899994,460.000000,465.049988,420.232422,251204
2009-02-10,468.799988,468.799988,459.049988,464.350006,419.599915,64897
2009-02-11,455.000000,458.899994,441.000000,444.950012,402.069458,301539
2009-02-12,443.000000,450.000000,431.500000,434.799988,392.897675,326181
2009-02-13,440.000000,444.899994,430.000000,430.500000,389.012054,581019
2009-02-16,430.000000,431.000000,407.299988,410.299988,370.758789,702467
2009-02-17,410.000000,410.299988,393.299988,401.200012,362.535767,497743
2009-02-18,397.500000,409.899994,388.000000,398.149994,359.779633,575236
2009-02-19,403.000000,408.500000,393.299988,405.950012,366.828033,553193
2009-02-20,400.000000,400.250000,389.049988,395.200012,357.113953,376725
2009-02-24,389.000000,402.000000,388.000000,397.700012,359.372986,788196
2009-02-25,400.000000,407.500000,396.200012,403.250000,364.388153,366607
2009-02-26,403.000000,409.500000,400.250000,406.600006,367.415314,630629
2009-02-27,401.549988,409.000000,386.100006,391.850006,354.086823,681801
2009-03-02,390.000000,401.850006,382.649994,398.750000,360.321869,429811
2009-03-03,400.000000,402.000000,391.000000,397.200012,358.921173,272765
2009-03-04,399.649994,399.649994,381.500000,389.799988,352.234344,535819
2009-03-05,392.000000,397.899994,355.250000,374.000000,337.957031,1316113
2009-03-06,372.000000,392.850006,357.000000,385.600006,348.439148,1257331
2009-03-09,380.100006,384.950012,369.500000,376.649994,340.351685,688828
2009-03-12,365.649994,401.950012,365.649994,398.049988,359.689301,846804
2009-03-13,419.100006,425.899994,401.200012,412.500000,372.746765,413139
2009-03-16,415.500000,435.250000,411.200012,433.899994,392.084381,278622
2009-03-17,434.899994,440.500000,420.100006,424.950012,383.996948,154849
2009-03-18,429.000000,442.399994,428.000000,436.799988,394.704926,226776
2009-03-19,435.000000,443.799988,423.149994,436.399994,394.343445,257379
